,stream,main_stream,type,distance_junction_from_receiving_water_mouth
1,ableiter_lohsa_i,kleine_spree,tributary,18.0
4,berste,spree,tributary,179.98
6,buchholzer_fliess,greifenhainer_fliess,tributary,14.0
7,dobra,suedumfluter,tributary,4.0
11,goeritzer_muehlenfliess,vetschauer_muehlenfliess,tributary,1.0
13,greifenhainer_fliess,suedumfluter,tributary,10.0
16,hammergraben_1,malxe_spree,tributary,5.0
20,kleine_spree,spree,tributary,266.98
22,koselmuehlenfliess,priorgraben,tributary,13.0
23,kotitzer_wasser,loebauer_wasser,tributary,3.0
27,loebauer_wasser,spree,tributary,306.98
28,lomschanke,kleine_spree,tributary,32.0
30,malschwitzer_kleine_spree,spree,tributary,309.98
32,malxe_spree,nordumfluter,tributary,25.0
34,neues_buchholzer_fliess,buchholzer_fliess,tributary,4.0
35,nordumfluter,spree,tributary,178.98
38,priorgraben,greifenhainer_fliess,tributary,6.5
42,rosenbach,spree,tributary,353.98
43,rosenbach,spree,tributary,353.98
49,schwarzer_schoeps,spree,tributary,280.98
52,steindoerfler_wasser_(drehsaer_wasser),kotitzer_wasser,tributary,8.0
53,suedumfluter,spree,tributary,191.98
54,verlegtes_tranitzfliess,hammergraben_1,tributary,20.8
55,vetschauer_muehlenfliess,suedumfluter,tributary,8.0
56,walkmuehlgraben,spree,tributary,119.98
57,weisser_schoeps,schwarzer_schoeps,tributary,17.0
59,wudritz,spree,tributary,186.98
60,zuleiter_sb_baerwalde,ableiter_sb_baerwalde,tributary,5.0
62,nordumfluter,spree,distributary,210.48
63,suedumfluter,spree,distributary,208.48
64,dahme_umflut_kanal,spree,distributary,161.03
65,priorgraben,spree,distributary,237.48
68,kleine_spree,spree,distributary,308.68
69,hammergraben_1,spree,distributary,229.48
70,waldgraben,spree,distributary,173.18
71,malschwitzer_kleine_spree,spree,distributary,316.98
72,walkmuehlgraben,spree,distributary,122.0
73,ableiter_sb_baerwalde,schwarzer_schoeps,tributary,5.0
74,zuleiter_sb_baerwalde,spree,distributary,291.5
75,tranitz,verlegtes_tranitzfliess,tributary,8.0
0,lieberoser_muehlenfliess,schwielochsee,tributary,5.9
1,barolder_muehlenfliess,lieberoser_muehlenfliess,tributary,5.7
2,dammuehlenfliess,schwielochsee,tributary,1.62
3,wuggel,dammuehlenfliess,tributary,2.49
4,teichgraben_goyatz,schwielochsee,tributary,10.3
5,lieberoser_muehlenfliess,schwielochsee,tributary,5.9
6,samgase,schwielochsee,tributary,1.72
7,pieskower_torfgraben,schwielochsee,tributary,3.5
8,groeditscher_landgraben,pretschener_spree,tributary,1.7
9,ressener_muehlenfliess,schwielochsee,tributary,7.6
10,rocher_muehlenfliess,spree,tributary,134.8
11,pretschener_spree,spree,tributary,148.5
12,schwielochsee,spree,tributary,131.7
13,pretschener_spree,spree,distributary,165.5
